Respondent's current age	Husband's current age	Age of wife at 1st birth	Age of Husband's at 1st birth	Highest educational level (Wife)	Educational level (Husband)	Frequency of using internet last month (Wife)	Frequency of using internet last month (Husband)	Wealth index combined	Type of place of residence	Total children ever born	Age of the first child	Sex of the first child
30	34	29	23	Secondary	Secondary	Almost every day	Not at all	Richer	Rural	1	1	M
48	49	26	18	Secondary	Primary	Not at all	At least once a week	Poorest	Rural	5	21	F
22	22	21	21	Higher	Primary	Not at all	Not at all	Poorest	Rural	1	1	F
49	53	20	25	Secondary	Secondary	Not at all	Not at all	Poorest	Rural	7	28	M
41	43	22	24	Primary	Primary	Not at all	Not at all	Poorest	Rural	5	18	M
29	42	19	33	Primary	Primary	Not at all	Not at all	Poorest	Rural	2	10	M
42	46	18	23	Primary	Primary	Not at all	Not at all	Poorer	Rural	6	22	M
29	31	20	23	Secondary	Primary	Not at all	Less than once a week	Poorer	Rural	3	8	F
35	34	28	27	Higher	Primary	At least once a week	Almost every day	Middle	Rural	3	6	F
31	29	30	28	Higher	Higher	Not at all	At least once a week	Poorest	Rural	1	1	F
42	50	23	31	Secondary	Secondary	Not at all	Not at all	Middle	Rural	3	19	F
27	33	18	26	Primary	Secondary	Not at all	Almost every day	Poorer	Rural	5	9	M
43	47	21	24	Secondary	Higher	Not at all	Not at all	Poorest	Rural	6	22	F
32	33	24	25	Secondary	Secondary	Not at all	Not at all	Poorest	Rural	4	7	F
27	29	22	25	Primary	Primary	Not at all	Not at all	Poorest	Rural	2	4	M
37	34	28	25	Secondary	Secondary	Not at all	Not at all	Poorer	Rural	3	9	M
37	38	28	29	Primary	Primary	Not at all	Not at all	Poorest	Rural	3	8	F
41	51	20	31	Primary	Primary	Not at all	Not at all	Poorest	Rural	5	20	F
25	31	24	30	Secondary	Secondary	Less than once a week	Less than once a week	Poorest	Rural	1	0	M
38	41	22	26	Secondary	Secondary	Not at all	Not at all	Poorest	Rural	4	15	M
31	31	24	25	Secondary	Secondary	Not at all	Not at all	Poorer	Rural	3	6	M
39	39	22	24	Secondary	Primary	Not at all	Not at all	Richer	Rural	3	16	F
38	39	30	33	Primary	Secondary	Not at all	Not at all	Middle	Rural	2	7	M
43	44	22	22	Primary	Primary	Not at all	Not at all	Poorer	Rural	4	21	F
49	51	27	30	Secondary	Secondary	Not at all	Not at all	Richest	Rural	6	21	M
45	54	20	28	Primary	Primary	Not at all	Not at all	Middle	Urban	5	25	F
25	31	20	26	Secondary	Secondary	At least once a week	Not at all	Middle	Urban	1	4	F
43	41	30	28	Higher	Higher	Almost every day	Almost every day	Richest	Urban	3	13	M
38	36	26	24	Secondary	Secondary	Not at all	Not at all	Middle	Urban	1	12	M
33	36	29	33	Secondary	Primary	Not at all	Not at all	Poorest	Urban	2	3	M
49	52	20	23	Primary	Primary	Not at all	Not at all	Poorest	Rural	9	29	M
36	38	26	30	No education	No education	Not at all	Not at all	Poorest	Rural	2	9	M
27	26	27	26	Primary	Secondary	Not at all	Not at all	Poorest	Rural	1	0	M
38	40	14	16	No education	No education	Not at all	Not at all	Poorest	Rural	11	24	F
39	47	22	31	No education	No education	Not at all	Not at all	Poorest	Rural	8	17	M
34	36	25	26	Primary	Secondary	Not at all	Not at all	Poorest	Rural	2	9	F
28	29	16	18	No education	Secondary	Not at all	Not at all	Poorest	Rural	3	12	F
32	34	21	23	Secondary	Secondary	Not at all	Less than once a week	Middle	Urban	3	11	F
48	51	21	23	Primary	Primary	Not at all	Not at all	Poorer	Urban	4	27	F
32	35	24	28	Secondary	Secondary	Not at all	Not at all	Poorer	Urban	3	7	F
35	38	19	23	Secondary	Secondary	Not at all	Not at all	Poorer	Urban	3	15	M
49	52	24	27	Secondary	Primary	Almost every day	Not at all	Richer	Urban	4	25	F
48	53	16	26	No education	Primary	Not at all	Not at all	Poorest	Urban	2	32	F
20	24	18	22	Secondary	Secondary	Less than once a week	Not at all	Poorest	Urban	1	1	F
28	33	26	31	Higher	Secondary	Almost every day	Not at all	Poorer	Urban	1	2	F
31	32	26	29	Higher	Secondary	Almost every day	Not at all	Middle	Urban	2	3	M
35	40	31	36	Higher	Higher	Almost every day	Almost every day	Richest	Urban	2	4	M
49	54	23	28	Secondary	Higher	Not at all	Not at all	Richer	Urban	3	26	F
33	31	30	28	Secondary	Primary	Less than once a week	Not at all	Poorer	Urban	2	2	F
28	33	20	27	Secondary	Secondary	Not at all	Not at all	Poorest	Urban	3	8	M
34	34	30	30	Higher	Secondary	Almost every day	At least once a week	Richer	Urban	1	4	F
39	40	26	31	Secondary	Secondary	Not at all	At least once a week	Poorer	Urban	2	10	F
34	38	28	32	Higher	Higher	Almost every day	Almost every day	Richest	Urban	2	6	M
42	49	22	30	Secondary	Secondary	Almost every day	Almost every day	Richer	Urban	4	19	F
38	43	31	36	Primary	Secondary	Not at all	Not at all	Poorer	Urban	3	7	M
23	29	19	24	Secondary	Secondary	At least once a week	Almost every day	Richer	Urban	2	4	F
34	47	26	37	Secondary	Secondary	Not at all	Not at all	Poorer	Urban	3	8	F
34	35	24	25	Secondary	Secondary	Not at all	Not at all	Poorer	Urban	4	8	F
38	42	19	29	Secondary	Secondary	Not at all	Not at all	Middle	Urban	3	18	M
26	37	21	32	Secondary	Secondary	Almost every day	At least once a week	Middle	Urban	2	4	F
36	38	25	27	Higher	Higher	Almost every day	Almost every day	Richest	Urban	3	11	M
32	30	20	21	Secondary	Secondary	Not at all	Almost every day	Poorer	Urban	3	11	M
33	33	28	28	Secondary	Secondary	Almost every day	Almost every day	Middle	Urban	2	5	M
45	45	30	30	Higher	Higher	Almost every day	Almost every day	Richer	Urban	2	15	M
42	45	28	31	Secondary	Secondary	Not at all	Not at all	Richer	Urban	2	14	M
23	29	19	26	Secondary	Secondary	Less than once a week	Almost every day	Richer	Urban	2	3	F
24	26	23	25	Secondary	Secondary	Almost every day	Not at all	Richest	Urban	1	1	F
26	31	21	26	Secondary	Secondary	Not at all	Not at all	Poorer	Urban	1	5	M
43	41	37	37	Higher	Higher	Almost every day	Almost every day	Richest	Urban	1	5	M
28	29	26	29	Higher	Higher	Almost every day	Almost every day	Richest	Urban	2	2	M
35	45	25	35	Secondary	Primary	Not at all	Not at all	Richest	Urban	2	10	M
29	34	27	24	Secondary	Higher	Almost every day	Almost every day	Richest	Urban	1	1	F
39	48	22	32	Secondary	Secondary	Not at all	Not at all	Richest	Urban	3	17	F
49	51	16	21	Primary	Primary	Not at all	Not at all	Richer	Urban	8	28	F
42	43	26	28	Higher	Higher	At least once a week	Almost every day	Richest	Urban	2	16	M
41	48	24	31	Secondary	Secondary	At least once a week	Not at all	Poorer	Urban	3	17	F
32	34	20	22	Secondary	Secondary	Almost every day	Almost every day	Richest	Urban	4	12	M
30	38	21	29	Secondary	Secondary	Not at all	At least once a week	Middle	Urban	2	8	F
35	54	20	22	Secondary	Secondary	Almost every day	Not at all	Richer	Urban	3	15	M
47	49	28	29	Higher	Higher	Not at all	Almost every day	Richest	Urban	1	19	M
26	29	23	21	Secondary	Secondary	Almost every day	Almost every day	Richest	Urban	1	3	M
38	37	27	25	Secondary	Secondary	Almost every day	Not at all	Richer	Urban	3	11	M
38	41	34	22	Secondary	Secondary	Almost every day	Almost every day	Richest	Urban	1	4	M
33	31	32	30	Secondary	Higher	Almost every day	Almost every day	Richest	Urban	1	1	M
29	31	28	30	Higher	Higher	Almost every day	Almost every day	Richest	Urban	1	0	F
22	45	20	44	Secondary	Secondary	Almost every day	Not at all	Middle	Urban	1	1	M
31	36	24	30	Secondary	Secondary	Almost every day	At least once a week	Richer	Urban	4	6	F
39	42	30	31	Higher	Higher	At least once a week	Almost every day	Richest	Urban	1	9	F
26	29	20	26	Secondary	Secondary	Almost every day	Almost every day	Richest	Urban	2	5	F
36	36	28	28	Higher	Secondary	At least once a week	Not at all	Middle	Urban	3	8	M
41	42	26	27	Secondary	Secondary	Not at all	Almost every day	Richest	Urban	2	15	F
36	42	18	24	Secondary	Secondary	Not at all	Almost every day	Richest	Urban	4	18	F
31	33	24	24	Secondary	Secondary	Almost every day	At least once a week	Middle	Urban	2	7	F
34	40	17	22	Primary	Secondary	Less than once a week	Not at all	Richer	Urban	4	17	M
32	40	16	23	Secondary	Secondary	Not at all	Not at all	Poorer	Urban	4	16	F
34	34	24	24	Secondary	Secondary	Not at all	Not at all	Richer	Urban	4	9	F
36	36	20	20	Secondary	Secondary	Not at all	Not at all	Middle	Urban	3	16	M
36	43	20	27	Secondary	Secondary	At least once a week	Not at all	Poorer	Urban	2	16	F
43	51	18	25	Primary	Secondary	Not at all	Less than once a week	Richest	Urban	2	24	F
46	46	33	33	Secondary	Secondary	Not at all	Not at all	Richer	Urban	2	13	F
33	39	20	26	Secondary	Secondary	Less than once a week	Not at all	Middle	Urban	3	13	M
35	52	23	27	Secondary	Secondary	Almost every day	Not at all	Richer	Urban	2	11	M
36	37	22	25	Secondary	Secondary	Not at all	Not at all	Middle	Urban	4	11	F
46	47	18	29	Secondary	Secondary	Not at all	Not at all	Middle	Urban	3	28	M
31	35	23	28	Secondary	Secondary	Almost every day	Almost every day	Richest	Urban	3	7	F
30	41	25	36	Higher	Higher	Almost every day	Almost every day	Richer	Urban	2	4	F
35	41	24	38	Secondary	Secondary	Not at all	Almost every day	Richer	Urban	2	11	M
31	35	23	35	Secondary	Primary	Not at all	Not at all	Middle	Urban	4	8	F
37	43	22	28	Secondary	Secondary	Almost every day	Almost every day	Richest	Urban	4	15	F
36	42	19	25	Secondary	Secondary	Not at all	Not at all	Middle	Urban	5	17	F
45	54	17	26	Secondary	Primary	Almost every day	At least once a week	Richest	Urban	3	28	M
32	40	24	31	Secondary	Higher	Almost every day	Almost every day	Richest	Urban	2	8	M
27	28	22	24	Higher	Secondary	Almost every day	At least once a week	Richer	Urban	2	4	M
47	50	25	28	Higher	Higher	Not at all	At least once a week	Richer	Urban	5	22	M
21	27	20	25	Secondary	Secondary	Almost every day	Almost every day	Richer	Urban	1	1	F
26	27	22	24	Secondary	Secondary	Not at all	Not at all	Middle	Urban	2	3	F
37	49	24	22	Secondary	Primary	Almost every day	Not at all	Richest	Urban	2	13	F
30	33	16	30	Primary	Primary	Almost every day	Not at all	Middle	Urban	4	14	M
43	49	19	24	Secondary	Secondary	Not at all	Not at all	Middle	Urban	5	23	F
35	41	28	33	Higher	Primary	At least once a week	At least once a week	Middle	Urban	2	6	M
28	33	18	24	Secondary	Secondary	Not at all	Not at all	Poorest	Urban	3	9	M
41	42	27	28	Higher	Higher	Almost every day	Almost every day	Richest	Urban	3	14	F
40	40	26	28	Secondary	Secondary	Almost every day	At least once a week	Middle	Urban	3	13	F
41	37	33	28	Higher	Higher	Almost every day	Almost every day	Richest	Urban	1	8	F
38	44	22	28	Secondary	Higher	Not at all	Almost every day	Richer	Urban	5	16	F
34	34	23	23	Secondary	Secondary	Not at all	Not at all	Poorest	Urban	3	10	F
33	43	17	28	Secondary	Secondary	Less than once a week	Less than once a week	Poorer	Urban	8	15	M
36	43	25	33	Higher	Higher	At least once a week	Almost every day	Richest	Urban	3	11	F
48	49	27	27	Higher	Secondary	Almost every day	At least once a week	Middle	Urban	2	21	F
33	40	20	28	Higher	Higher	Almost every day	Almost every day	Richer	Urban	3	12	F
41	44	24	27	Secondary	Primary	Not at all	Not at all	Poorer	Rural	4	17	M
21	27	20	26	Primary	Secondary	Not at all	Less than once a week	Middle	Rural	1	0	M
36	41	23	29	Secondary	Secondary	Not at all	Not at all	Poorest	Rural	3	12	M
30	30	27	26	Higher	Secondary	Less than once a week	Almost every day	Middle	Rural	1	2	M
41	43	22	24	Secondary	Secondary	Not at all	Not at all	Middle	Rural	4	19	F
31	33	21	23	Secondary	Secondary	Not at all	Not at all	Poorer	Rural	3	10	F
39	41	21	24	Secondary	Secondary	Not at all	Not at all	Middle	Rural	4	18	F
37	38	21	21	Primary	Primary	Not at all	Not at all	Poorest	Rural	2	16	F
24	24	23	23	Secondary	Secondary	At least once a week	Almost every day	Middle	Rural	1	0	M
32	33	22	23	Secondary	Primary	Not at all	Not at all	Poorest	Rural	4	10	M
29	31	19	21	Primary	Primary	Not at all	Not at all	Poorest	Rural	2	10	F
27	30	22	26	Primary	Primary	Not at all	Not at all	Poorest	Rural	2	4	F
31	32	19	20	Secondary	Secondary	Not at all	Not at all	Poorer	Rural	2	12	M
22	32	18	27	Secondary	Primary	Not at all	Less than once a week	Poorest	Rural	1	4	F
47	48	24	25	Primary	Primary	Not at all	Not at all	Poorer	Rural	5	22	F
41	46	19	24	Secondary	Secondary	Not at all	Not at all	Middle	Rural	3	21	F
24	33	17	27	Primary	Secondary	Not at all	Not at all	Poorest	Rural	1	6	M
38	39	27	28	Secondary	Secondary	Almost every day	Less than once a week	Middle	Rural	3	10	M
37	44	19	26	Secondary	Secondary	Not at all	Not at all	Richer	Rural	2	18	M
25	25	23	23	Secondary	Secondary	Almost every day	Less than once a week	Middle	Rural	1	2	F
39	41	27	29	Higher	Higher	Almost every day	Almost every day	Richest	Urban	2	12	M
48	50	25	29	Higher	Higher	Almost every day	Almost every day	Richest	Urban	2	22	M
49	52	24	28	Higher	Higher	At least once a week	At least once a week	Richest	Urban	2	25	F
45	47	27	29	Primary	Secondary	Not at all	Not at all	Poorer	Rural	2	18	F
44	46	30	32	Secondary	Primary	Not at all	Not at all	Poorest	Rural	1	13	F
35	38	30	33	Higher	Secondary	Almost every day	Almost every day	Richer	Rural	2	5	F
39	40	24	25	Secondary	Primary	Not at all	Not at all	Richer	Rural	2	15	F
45	47	21	23	Secondary	Secondary	Not at all	Not at all	Poorer	Urban	4	23	M
48	48	29	29	Secondary	Primary	Not at all	Not at all	Poorer	Urban	2	19	M
45	46	21	22	Primary	Primary	Not at all	Not at all	Poorer	Urban	4	23	M
32	39	25	28	Secondary	Secondary	Almost every day	Not at all	Poorer	Urban	2	7	F
26	30	25	28	Higher	Secondary	Almost every day	Not at all	Poorer	Urban	1	1	F
30	36	19	26	Secondary	Secondary	Not at all	Not at all	Poorer	Rural	4	10	F
32	52	22	45	Primary	Secondary	Not at all	Not at all	Poorer	Rural	2	9	F
44	48	22	27	Primary	Primary	Not at all	Not at all	Middle	Rural	6	21	M
32	34	27	29	Higher	Secondary	Not at all	Not at all	Poorer	Rural	2	5	F
46	53	33	27	Secondary	Secondary	Not at all	Not at all	Middle	Urban	3	12	M
37	37	28	28	Higher	Secondary	Almost every day	Not at all	Middle	Urban	3	9	F
37	44	22	29	Secondary	Secondary	Not at all	Not at all	Poorest	Urban	4	14	M
39	43	26	30	Higher	Secondary	Almost every day	Almost every day	Richer	Rural	4	12	M
45	45	26	25	Secondary	Secondary	Not at all	Not at all	Poorer	Rural	2	19	M
36	38	22	25	Higher	Primary	Less than once a week	Not at all	Poorer	Urban	5	12	M
47	52	28	33	Higher	Higher	Less than once a week	Almost every day	Middle	Urban	4	19	F
36	38	28	29	Higher	Higher	Almost every day	Almost every day	Richer	Urban	3	8	F
39	44	20	24	Primary	Secondary	Not at all	Not at all	Poorest	Rural	3	19	F
42	44	24	26	Secondary	Secondary	Not at all	Not at all	Middle	Rural	5	17	M
38	43	25	31	Primary	Secondary	Not at all	Not at all	Middle	Rural	4	12	M
26	35	20	29	Secondary	Primary	Not at all	Less than once a week	Poorer	Rural	1	5	M
22	25	21	24	Secondary	Secondary	Not at all	Not at all	Poorer	Rural	1	0	F
48	53	18	22	Primary	Primary	Not at all	Not at all	Middle	Rural	2	30	F
28	38	20	31	Primary	Primary	Not at all	Not at all	Poorer	Rural	1	8	F
29	32	22	25	Secondary	Primary	Not at all	Not at all	Middle	Rural	2	7	F
31	32	18	18	Secondary	Secondary	Almost every day	Almost every day	Middle	Rural	2	13	F
28	35	20	27	Secondary	Secondary	Not at all	Almost every day	Middle	Rural	1	8	F
42	40	23	19	Secondary	Secondary	Not at all	Not at all	Poorer	Rural	3	19	M
37	39	22	23	Primary	Primary	Not at all	Not at all	Poorest	Rural	2	15	F
34	37	23	24	Primary	Secondary	Not at all	Almost every day	Richer	Urban	3	11	M
43	50	26	33	Primary	Secondary	Not at all	Not at all	Poorest	Urban	4	15	F
40	48	23	31	Higher	Secondary	Almost every day	Not at all	Middle	Urban	2	17	F
20	23	20	22	Secondary	Secondary	At least once a week	Almost every day	Middle	Rural	1	0	F
36	39	19	22	Secondary	Secondary	Not at all	Not at all	Poorer	Rural	3	16	F
40	42	17	20	Primary	Primary	Not at all	Not at all	Poorer	Rural	3	14	M
37	34	25	23	Secondary	Secondary	Almost every day	Almost every day	Richer	Rural	2	11	F
32	35	21	23	Secondary	Secondary	Not at all	At least once a week	Poorest	Rural	2	11	M
27	35	26	33	Secondary	Secondary	At least once a week	At least once a week	Poorer	Rural	1	1	M
37	47	20	30	Secondary	Secondary	Not at all	Not at all	Poorer	Rural	4	17	M
28	31	20	23	Secondary	Higher	Not at all	Not at all	Poorest	Rural	3	8	F
31	35	26	30	Higher	Secondary	Almost every day	Almost every day	Middle	Rural	2	4	M
44	51	18	25	Secondary	Primary	Not at all	Not at all	Poorest	Rural	5	25	M
25	35	23	34	Secondary	Higher	Almost every day	At least once a week	Middle	Rural	2	2	M
21	26	18	23	Secondary	Primary	Not at all	Not at all	Poorest	Rural	1	3	M
44	41	27	23	Secondary	Secondary	Not at all	Not at all	Poorest	Urban	6	17	M
45	44	23	23	Secondary	Secondary	Not at all	Not at all	Richest	Urban	4	21	M
25	28	21	25	Secondary	Secondary	Almost every day	Almost every day	Middle	Urban	2	3	F
46	45	17	23	Primary	Primary	Not at all	Not at all	Richest	Urban	3	28	M
36	46	24	34	Primary	Primary	Not at all	Not at all	Poorest	Rural	2	12	F
26	28	19	22	Secondary	Secondary	Less than once a week	Not at all	Poorer	Rural	2	6	F
31	31	23	99	Secondary	Primary	Not at all	Not at all	Middle	Rural	2	7	F
47	49	26	28	Secondary	Secondary	Not at all	Not at all	Poorer	Rural	7	20	M
31	34	19	22	Secondary	Secondary	Not at all	Not at all	Richer	Rural	3	11	M
48	51	19	21	Primary	Primary	Not at all	Not at all	Richer	Rural	2	29	F
27	32	25	30	Higher	Higher	At least once a week	Almost every day	Poorer	Rural	1	2	F
32	36	26	30	Primary	Primary	Not at all	Not at all	Poorer	Rural	1	6	M
38	44	21	27	Primary	Secondary	Not at all	Not at all	Middle	Rural	4	16	M
18	22	18	22	Primary	Primary	Not at all	Not at all	Poorest	Rural	1	0	M
26	38	17	28	Primary	Primary	Not at all	Not at all	Poorest	Urban	3	8	M
42	48	28	33	Secondary	Secondary	Almost every day	Not at all	Poorer	Urban	2	14	M
48	52	26	25	Higher	Primary	Not at all	At least once a week	Poorest	Urban	2	22	M
36	36	26	27	Higher	Secondary	Almost every day	Almost every day	Richer	Urban	3	9	F
48	53	42	47	Higher	Secondary	Not at all	Not at all	Middle	Urban	1	6	M
21	20	19	18	Secondary	Secondary	At least once a week	Less than once a week	Poorest	Urban	1	1	M
32	33	22	25	Secondary	Secondary	Almost every day	Almost every day	Middle	Urban	3	10	F
33	37	25	29	Higher	Higher	Almost every day	Almost every day	Richest	Urban	3	7	M
39	43	29	33	Secondary	Higher	Almost every day	Almost every day	Richer	Urban	4	10	M
46	44	27	25	Secondary	Secondary	At least once a week	Almost every day	Richer	Urban	4	17	M
26	31	25	30	Higher	Secondary	Almost every day	Almost every day	Richer	Urban	1	1	F
44	47	20	25	Secondary	Secondary	Not at all	Almost every day	Richer	Urban	4	24	F
47	53	35	34	Secondary	Secondary	Almost every day	Almost every day	Richest	Urban	1	12	M
32	32	25	26	Higher	Higher	Almost every day	Almost every day	Richest	Urban	3	7	M
38	42	24	27	Secondary	Primary	Not at all	Not at all	Richer	Urban	2	13	M
41	46	21	26	Secondary	Secondary	At least once a week	Not at all	Middle	Urban	2	20	M
47	47	28	28	Secondary	Secondary	Not at all	Not at all	Middle	Urban	2	18	F
21	28	18	24	Secondary	Higher	Almost every day	Not at all	Middle	Urban	1	3	F
39	41	26	27	Higher	Secondary	Almost every day	At least once a week	Richest	Urban	3	13	F
41	39	30	28	Secondary	Higher	Almost every day	Almost every day	Richest	Urban	3	10	F
32	40	25	33	Higher	Higher	Almost every day	Almost every day	Richest	Urban	1	7	M
32	37	25	31	Higher	Higher	Almost every day	At least once a week	Richest	Urban	3	7	F
45	46	28	29	Secondary	Secondary	Not at all	Not at all	Middle	Urban	2	16	F
33	32	23	22	Secondary	Secondary	Not at all	Less than once a week	Poorer	Urban	1	10	F
28	30	25	27	Secondary	Secondary	Almost every day	Almost every day	Middle	Urban	1	2	F
20	27	18	25	Secondary	Primary	At least once a week	Almost every day	Middle	Urban	1	1	F
47	53	20	25	Secondary	Primary	Not at all	Not at all	Middle	Urban	2	27	M
34	35	24	25	Secondary	Secondary	Almost every day	Almost every day	Middle	Urban	2	9	F
22	25	21	24	Secondary	Secondary	Almost every day	Almost every day	Poorer	Urban	1	0	F
33	45	22	33	Secondary	Primary	Not at all	Not at all	Poorer	Urban	3	11	F
38	40	27	29	Higher	Higher	Almost every day	Almost every day	Richer	Urban	2	10	F
30	33	24	27	Higher	Secondary	Almost every day	Less than once a week	Middle	Urban	1	6	F
42	40	32	30	Higher	Higher	Almost every day	Almost every day	Richest	Urban	3	9	M
33	34	25	28	Higher	Higher	At least once a week	Almost every day	Richest	Urban	4	6	F
39	41	22	23	Secondary	Secondary	Not at all	Not at all	Poorest	Urban	3	17	M
45	40	31	26	Secondary	Secondary	Not at all	Not at all	Poorest	Urban	2	14	F
43	47	19	23	Secondary	Secondary	Almost every day	Not at all	Middle	Urban	5	23	M
42	47	28	33	Secondary	Secondary	Almost every day	Almost every day	Middle	Urban	2	14	M
32	39	22	29	Secondary	Secondary	Almost every day	Almost every day	Richer	Urban	4	9	F
42	36	30	25	Higher	Higher	Almost every day	Almost every day	Richer	Urban	3	11	M
29	31	28	31	Higher	Higher	Almost every day	Almost every day	Richest	Urban	1	0	F
46	51	19	23	Secondary	Secondary	Not at all	Not at all	Middle	Urban	4	27	M
37	34	28	25	Secondary	Secondary	Not at all	Not at all	Poorer	Urban	1	8	M
31	31	21	22	Secondary	Secondary	Not at all	Not at all	Richer	Urban	2	9	F
33	34	22	23	Secondary	Primary	Not at all	Not at all	Poorest	Urban	2	11	F
40	41	27	23	Secondary	Primary	Not at all	Not at all	Middle	Rural	3	9	M
35	36	28	29	Higher	Secondary	At least once a week	Almost every day	Richer	Rural	3	7	F
44	54	23	33	Secondary	Secondary	Not at all	Not at all	Middle	Rural	2	21	M
39	40	30	31	Higher	Higher	Less than once a week	Almost every day	Richer	Rural	3	9	M
34	33	28	26	Higher	Higher	Not at all	Almost every day	Richer	Rural	3	6	M
35	39	24	30	Higher	Secondary	Almost every day	Not at all	Richest	Urban	4	10	M
49	53	26	31	Higher	Primary	Not at all	Not at all	Richer	Urban	1	22	M
44	52	24	32	Secondary	Higher	Almost every day	Almost every day	Richest	Urban	3	20	M
39	43	32	32	Higher	Higher	Not at all	Not at all	Poorer	Urban	2	7	M
49	52	27	25	Secondary	Primary	Not at all	Not at all	Poorest	Urban	4	21	M
43	47	27	31	Secondary	Secondary	Not at all	Not at all	Poorer	Urban	5	16	M
35	45	21	31	Higher	Secondary	Not at all	Not at all	Middle	Rural	2	13	M
34	39	16	23	Secondary	Secondary	Not at all	Not at all	Richer	Rural	4	17	M
46	54	18	27	Primary	Primary	Not at all	Not at all	Poorest	Rural	3	28	F
35	38	21	25	Primary	Secondary	Not at all	Not at all	Middle	Rural	2	13	F
25	29	23	27	Higher	Secondary	Almost every day	At least once a week	Richer	Rural	1	2	M
43	46	18	20	Primary	Primary	Not at all	Not at all	Middle	Rural	6	25	F
20	23	18	22	Secondary	Secondary	Not at all	Not at all	Poorest	Rural	1	1	F
42	45	23	19	Primary	Secondary	Not at all	Not at all	Poorer	Rural	3	19	M
38	44	22	26	Primary	Secondary	Not at all	Not at all	Middle	Rural	3	16	M
44	46	24	28	Secondary	Primary	Not at all	Not at all	Middle	Rural	3	20	F
29	30	20	23	Primary	Secondary	Almost every day	Not at all	Richer	Rural	2	8	M
41	40	27	27	Primary	Secondary	Not at all	Not at all	Poorer	Rural	2	14	M
33	36	28	22	Secondary	Primary	Not at all	Not at all	Poorest	Rural	1	5	M
33	37	22	25	Secondary	Primary	Not at all	Not at all	Middle	Rural	2	11	F
33	37	20	25	Higher	Higher	Almost every day	Almost every day	Middle	Rural	3	12	M
38	40	18	28	Secondary	Secondary	Not at all	Not at all	Poorer	Rural	8	10	F
46	53	23	27	Primary	Secondary	Not at all	Not at all	Poorest	Rural	2	23	M
23	27	17	21	Secondary	Secondary	Not at all	Almost every day	Poorer	Rural	1	6	M
49	44	28	23	Secondary	Secondary	Almost every day	At least once a week	Richest	Rural	5	21	F
39	39	26	26	Secondary	Secondary	Not at all	Not at all	Middle	Urban	3	12	F
31	33	20	23	Primary	Primary	Not at all	Almost every day	Middle	Urban	2	11	F
47	52	24	30	Higher	Secondary	Almost every day	Almost every day	Richest	Urban	4	23	F
20	28	16	25	Secondary	Secondary	At least once a week	Almost every day	Richer	Urban	1	4	M
27	35	25	26	Secondary	Secondary	Almost every day	Not at all	Poorer	Urban	1	2	F
25	26	24	26	Secondary	Secondary	Almost every day	Not at all	Middle	Rural	1	0	M
34	34	27	27	Higher	Higher	Almost every day	Almost every day	Richest	Rural	2	7	M
33	34	25	26	Higher	Secondary	Almost every day	Not at all	Richest	Rural	2	8	F
28	33	17	23	Primary	Primary	At least once a week	Not at all	Poorer	Rural	1	11	F
23	30	22	29	Secondary	Secondary	Not at all	Almost every day	Poorer	Rural	1	0	M
24	30	17	23	Secondary	Secondary	Not at all	Almost every day	Poorer	Rural	2	6	F
24	27	20	22	Secondary	Secondary	At least once a week	At least once a week	Poorer	Rural	1	4	M
45	53	17	28	Primary	Primary	Not at all	Not at all	Poorest	Rural	6	25	F
47	52	16	21	Primary	Primary	Not at all	Not at all	Poorest	Rural	3	30	M
21	30	18	27	Primary	Secondary	Not at all	Not at all	Poorest	Rural	2	2	F
42	50	19	28	No education	No education	Not at all	Not at all	Poorest	Rural	3	21	M
23	31	21	29	Primary	Secondary	Almost every day	Almost every day	Richer	Urban	1	2	F
30	32	18	20	Secondary	Secondary	Not at all	At least once a week	Poorer	Urban	3	7	F
23	25	22	23	Secondary	Secondary	Almost every day	Almost every day	Richer	Urban	1	1	F
29	39	19	30	Primary	Secondary	Not at all	Not at all	Poorest	Urban	2	9	M
35	36	27	27	Secondary	Secondary	Not at all	At least once a week	Poorer	Urban	2	8	M
32	31	26	26	Secondary	Secondary	Not at all	Almost every day	Middle	Urban	2	5	F
42	46	18	22	Primary	Primary	Not at all	Not at all	Middle	Rural	5	24	F
38	45	16	22	Primary	Primary	Not at all	Not at all	Middle	Rural	2	22	F
40	44	11	20	Primary	Secondary	Not at all	Not at all	Richer	Rural	2	28	M
35	27	27	20	Secondary	Primary	Not at all	Not at all	Poorer	Rural	1	7	F
26	32	17	22	Primary	Primary	At least once a week	At least once a week	Poorer	Rural	3	3	M
41	46	19	24	Primary	Primary	Not at all	Not at all	Poorest	Rural	2	22	F
22	23	21	22	Primary	Primary	Not at all	Not at all	Poorest	Rural	1	0	F
39	40	17	19	Secondary	Secondary	Not at all	Not at all	Middle	Rural	2	21	F
46	48	22	99	Primary	Secondary	Not at all	Not at all	Poorer	Rural	6	24	M
17	29	17	29	Primary	Primary	Not at all	Not at all	Poorer	Rural	1	0	F
34	39	15	30	Primary	Primary	Not at all	Not at all	Poorest	Rural	3	18	F
36	43	19	27	Primary	Primary	Not at all	Not at all	Poorest	Rural	5	16	M
23	26	20	23	Secondary	Primary	Not at all	Not at all	Poorest	Rural	2	3	F
39	40	17	28	Secondary	Primary	Not at all	Not at all	Poorest	Rural	3	21	M
