ageOfWife;ageOfHusband;AgeOfWife1stbirth;AgeofHusband1stbirth;educationWife;educationHusband;FrequencyInternetWife;FrequencyInternetHusband;Wealth;TypeofPlace;Totalchildren;Agechild;Sexthefirstchild
39;39;26;26;Primary;Primary;NotAtAll;NotAtAll;Richer;Rural;3;13;F
37;38;33;35;Primary;Primary;NotAtAll;NotAtAll;Middle;Rural;1;4;F
43;50;15;23;Primary;Primary;NotAtAll;NotAtAll;Richest;Rural;4;27;M
34;38;30;35;Secondary;Secondary;NotAtAll;AlmostEveryday;Middle;Rural;1;3;M
30;32;25;27;Secondary;Secondary;NotAtAll;NotAtAll;Poorer;Rural;3;4;F
37;30;34;27;Primary;Primary;NotAtAll;At least once a week;Poorest;Rural;1;3;M
34;31;25;22;Primary;Secondary;NotAtAll;NotAtAll;Middle;Rural;2;8;M
29;29;26;26;Primary;Secondary;NotAtAll;NotAtAll;Middle;Rural;2;2;F
25;41;23;22;Primary;Primary;AlmostEveryday;NotAtAll;Poorer;Rural;1;1;M
31;40;14;24;Primary;Primary;NotAtAll;NotAtAll;Poorer;Rural;3;15;M
43;46;29;26;Higher;Higher;AlmostEveryday;AlmostEveryday;Richest;Urban;2;14;M
29;29;28;28;Higher;Higher;AlmostEveryday;AlmostEveryday;Richest;Urban;1;0;M
31;34;26;29;Higher;Higher;AlmostEveryday;AlmostEveryday;Richest;Urban;3;4;M
31;32;27;28;Secondary;Higher;AlmostEveryday;AlmostEveryday;Richest;Urban;1;3;M
40;44;26;30;Higher;Higher;AlmostEveryday;AlmostEveryday;Richest;Urban;2;13;F
39;49;24;33;Higher;Secondary;AlmostEveryday;AlmostEveryday;Richest;Urban;3;15;F
47;47;22;23;Primary;Secondary;NotAtAll;NotAtAll;Middle;Urban;4;24;M
49;52;18;21;Primary;Secondary;AlmostEveryday;AlmostEveryday;Richest;Urban;8;30;F
35;40;34;40;Higher;Secondary;AlmostEveryday;AlmostEveryday;Richer;Urban;1;0;F
37;40;28;31;Higher;Secondary;AlmostEveryday;AlmostEveryday;Richest;Urban;1;8;M
43;44;21;22;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Richest;Urban;5;22;F
25;36;16;27;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Richest;Urban;2;8;F
41;40;28;27;Higher;Secondary;AlmostEveryday;NotAtAll;Richest;Urban;1;13;F
45;48;21;24;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Richest;Urban;5;24;M
38;38;28;28;Secondary;Higher;AlmostEveryday;AlmostEveryday;Richest;Urban;2;9;M
48;54;13;19;Primary;Primary;NotAtAll;NotAtAll;Richer;Urban;5;34;F
23;25;20;22;Primary;Secondary;NotAtAll;AlmostEveryday;Richer;Urban;1;3;F
47;51;17;21;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Richest;Urban;3;29;M
32;41;24;33;Higher;Higher;AlmostEveryday;AlmostEveryday;Richest;Urban;2;7;F
27;31;23;27;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Richer;Urban;1;3;M
47;52;16;22;Primary;Primary;NotAtAll;NotAtAll;Richest;Urban;3;30;M
34;38;26;30;Secondary;Secondary;AlmostEveryday;NotAtAll;Richer;Urban;1;7;M
42;46;23;28;Secondary;Secondary;AlmostEveryday;At least once a week;Richest;Urban;2;18;F
30;34;21;25;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Richest;Urban;3;9;F
42;36;20;23;Primary;Secondary;NotAtAll;NotAtAll;Middle;Urban;3;22;F
37;46;20;29;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Richest;Urban;2;17;M
44;46;23;25;Secondary;Secondary;NotAtAll;AlmostEveryday;Richest;Urban;2;21;F
32;35;28;32;Higher;Higher;AlmostEveryday;AlmostEveryday;Richest;Urban;2;3;F
39;41;29;31;Secondary;Secondary;NotAtAll;NotAtAll;Richer;Urban;1;9;F
31;35;26;30;Secondary;Secondary;onceAweek;AlmostEveryday;Richer;Urban;1;4;M
40;42;22;24;Primary;Secondary;NotAtAll;NotAtAll;Richer;Urban;2;18;M
37;35;23;21;Primary;Secondary;onceAweek;AlmostEveryday;Richer;Urban;2;14;M
41;47;22;29;Secondary;Secondary;NotAtAll;AlmostEveryday;Richest;Urban;2;18;M
33;33;24;24;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Richer;Urban;2;9;F
38;43;24;30;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Richest;Urban;1;13;F
32;34;20;21;Secondary;Secondary;onceAweek;AlmostEveryday;Richer;Urban;1;12;M
36;39;20;24;Secondary;Secondary;NotAtAll;AlmostEveryday;Richest;Urban;3;15;M
46;52;22;27;Higher;Higher;AlmostEveryday;AlmostEveryday;Richest;Urban;3;24;M
29;41;20;32;Secondary;Secondary;onceAweek;NotAtAll;Middle;Urban;2;9;M
42;44;21;22;Primary;Secondary;AlmostEveryday;NotAtAll;Richer;Urban;2;20;M
29;27;28;26;Secondary;Secondary;NotAtAll;AlmostEveryday;Middle;Urban;1;1;M
30;49;18;28;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Richer;Urban;1;11;F
40;41;28;29;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Richer;Urban;2;11;M
30;34;19;23;Primary;Secondary;AlmostEveryday;AlmostEveryday;Richer;Urban;2;10;F
35;38;18;21;Primary;Primary;NotAtAll;NotAtAll;Richer;Urban;2;16;F
23;37;23;37;Primary;Primary;NotAtAll;AlmostEveryday;Middle;Urban;1;0;M
29;29;19;18;Primary;Primary;NotAtAll;NotAtAll;Richer;Urban;2;1;M
26;39;19;33;Primary;Secondary;onceAweek;AlmostEveryday;Richer;Urban;1;6;M
26;28;21;23;Secondary;Secondary;NotAtAll;AlmostEveryday;Richer;Urban;1;5;F
41;39;26;25;Secondary;Secondary;NotAtAll;NotAtAll;Richer;Urban;2;14;M
41;38;26;24;Higher;Secondary;AlmostEveryday;AlmostEveryday;Richest;Urban;2;14;M
48;54;21;27;Secondary;Secondary;NotAtAll;NotAtAll;Richer;Urban;3;27;M
27;31;23;28;Secondary;Higher;AlmostEveryday;AlmostEveryday;Richest;Urban;1;3;M
23;27;20;24;Secondary;Secondary;onceAweek;onceAweek;Richer;Urban;1;2;M
22;28;22;27;Secondary;Secondary;AlmostEveryday;At least once a week;Richest;Urban;1;0;F
39;44;23;27;Secondary;Secondary;NotAtAll;NotAtAll;Richest;Urban;2;16;F
48;50;27;30;Secondary;Secondary;NotAtAll;NotAtAll;Richest;Urban;2;20;M
39;44;27;99;Higher;Secondary;onceAweek;AlmostEveryday;Richest;Urban;3;12;F
37;34;28;26;Higher;Higher;AlmostEveryday;AlmostEveryday;Richest;Urban;1;8;M
45;52;17;99;Primary;Primary;NotAtAll;NotAtAll;Middle;Urban;3;27;M
37;44;20;29;Secondary;Secondary;NotAtAll;NotAtAll;Richer;Urban;2;16;M
36;39;27;29;Primary;Primary;LessThanOnceAweek;NotAtAll;Middle;Urban;1;0;M
37;40;22;27;Secondary;Higher;NotAtAll;AlmostEveryday;Middle;Urban;4;14;F
49;52;19;19;No education;Primary;NotAtAll;NotAtAll;Poorer;Urban;5;29;M
32;27;26;15;Secondary;Secondary;LessThanOnceAweek;NotAtAll;Poorer;Urban;2;5;F
29;40;21;99;Secondary;Primary;onceAweek;NotAtAll;Richer;Urban;2;7;M
26;32;21;27;Primary;Secondary;NotAtAll;NotAtAll;Middle;Rural;1;5;M
35;44;17;27;Primary;Primary;NotAtAll;NotAtAll;Middle;Rural;3;18;M
34;48;16;31;Primary;Primary;NotAtAll;NotAtAll;Middle;Rural;3;18;M
35;37;23;27;Secondary;Secondary;NotAtAll;NotAtAll;Richer;Rural;2;11;M
41;47;19;26;Primary;Primary;NotAtAll;NotAtAll;Middle;Rural;5;22;F
22;37;18;35;Primary;Primary;NotAtAll;NotAtAll;Middle;Rural;1;3;F
47;52;16;23;Primary;Primary;NotAtAll;NotAtAll;Richest;Rural;9;30;M
29;32;19;23;Secondary;Primary;onceAweek;AlmostEveryday;Richer;Rural;3;9;F
35;44;16;26;Primary;Primary;NotAtAll;NotAtAll;Richer;Rural;3;18;F
39;39;23;24;Secondary;Secondary;NotAtAll;NotAtAll;Richer;Urban;2;16;M
30;34;23;26;Secondary;Secondary;onceAweek;onceAweek;Richer;Urban;2;6;M
48;48;21;22;Secondary;Primary;NotAtAll;NotAtAll;Richer;Urban;3;27;F
39;43;23;27;Primary;Primary;NotAtAll;NotAtAll;Middle;Urban;2;15;F
36;41;17;22;Primary;Secondary;NotAtAll;AlmostEveryday;Middle;Urban;4;19;M
32;32;22;22;Secondary;Secondary;onceAweek;onceAweek;Richer;Urban;2;9;M
36;37;19;29;Secondary;Secondary;NotAtAll;NotAtAll;Richer;Urban;5;15;F
44;47;21;23;Primary;Secondary;NotAtAll;NotAtAll;Poorer;Urban;3;19;F
46;41;30;26;Secondary;Primary;NotAtAll;NotAtAll;Poorer;Urban;2;16;F
27;26;23;22;Secondary;Primary;NotAtAll;NotAtAll;Middle;Urban;1;3;F
44;51;20;28;Secondary;Secondary;NotAtAll;AlmostEveryday;Richest;Urban;2;23;M
25;36;19;36;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Richer;Urban;1;5;F
33;37;23;27;Higher;Higher;AlmostEveryday;AlmostEveryday;Richest;Urban;2;10;F
37;48;21;33;Secondary;Secondary;NotAtAll;NotAtAll;Middle;Urban;2;15;M
46;51;20;26;Primary;Secondary;NotAtAll;AlmostEveryday;Richest;Urban;2;25;F
25;27;21;23;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Richest;Urban;1;4;M
23;26;21;26;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Richest;Urban;1;1;M
34;37;25;28;Secondary;Higher;AlmostEveryday;AlmostEveryday;Richer;Urban;2;9;F
47;43;21;26;Primary;Primary;AlmostEveryday;At least once a week;Richest;Urban;3;25;F
27;34;20;33;Primary;Secondary;onceAweek;AlmostEveryday;Richer;Urban;3;6;M
40;42;25;28;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Richest;Urban;2;15;F
37;41;22;25;Secondary;Higher;AlmostEveryday;AlmostEveryday;Richest;Urban;3;15;M
46;48;32;34;Higher;Higher;AlmostEveryday;AlmostEveryday;Richest;Urban;1;13;M
36;30;29;24;Higher;Secondary;AlmostEveryday;AlmostEveryday;Richest;Urban;2;6;M
26;26;25;25;Higher;Higher;AlmostEveryday;AlmostEveryday;Richest;Urban;1;0;M
26;30;24;28;Secondary;Higher;AlmostEveryday;AlmostEveryday;Richest;Urban;1;1;M
46;53;23;32;Secondary;Secondary;NotAtAll;NotAtAll;Richer;Urban;2;22;F
33;39;20;26;Secondary;Secondary;NotAtAll;AlmostEveryday;Richest;Urban;3;12;M
42;43;24;27;Secondary;Secondary;AlmostEveryday;NotAtAll;Richer;Urban;4;17;F
39;37;25;25;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Richest;Urban;2;14;M
29;37;18;26;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Richest;Urban;3;10;F
35;39;22;26;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Richest;Urban;3;13;F
36;38;23;26;Secondary;Higher;AlmostEveryday;AlmostEveryday;Richest;Urban;3;13;M
37;43;33;21;Secondary;Higher;NotAtAll;AlmostEveryday;Richest;Urban;1;4;F
35;35;26;27;Secondary;Secondary;NotAtAll;AlmostEveryday;Richest;Urban;2;9;M
47;50;19;22;Secondary;Secondary;AlmostEveryday;NotAtAll;Richest;Urban;4;28;M
39;45;20;26;Secondary;Secondary;NotAtAll;AlmostEveryday;Richer;Urban;3;18;M
32;36;25;30;Secondary;Higher;AlmostEveryday;AlmostEveryday;Richest;Urban;2;7;M
31;33;24;26;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Richer;Urban;2;6;M
44;48;17;29;Primary;Secondary;NotAtAll;NotAtAll;Richer;Urban;2;26;M
31;32;27;29;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Richer;Urban;1;4;F
44;46;26;29;Higher;Higher;AlmostEveryday;AlmostEveryday;Richest;Urban;3;17;M
48;50;24;26;Higher;Higher;AlmostEveryday;AlmostEveryday;Richest;Urban;2;23;F
41;48;22;28;Higher;Higher;AlmostEveryday;AlmostEveryday;Richest;Urban;3;19;M
28;29;20;21;Higher;Higher;AlmostEveryday;AlmostEveryday;Richest;Urban;3;8;M
29;30;26;27;Higher;Higher;AlmostEveryday;AlmostEveryday;Richer;Urban;1;3;F
38;40;20;25;Primary;Secondary;AlmostEveryday;NotAtAll;Richer;Urban;2;18;M
28;34;20;28;Secondary;Secondary;AlmostEveryday;At least once a week;Richest;Urban;1;7;M
26;26;26;26;Higher;Secondary;AlmostEveryday;AlmostEveryday;Richest;Rural;1;0;F
45;50;19;25;Secondary;Secondary;AlmostEveryday;NotAtAll;Richer;Rural;2;25;F
22;31;19;28;Higher;Secondary;AlmostEveryday;AlmostEveryday;Richer;Rural;1;3;F
22;28;16;22;Secondary;Higher;AlmostEveryday;AlmostEveryday;Richest;Rural;2;5;M
49;53;20;24;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;2;29;M
20;28;16;25;Secondary;Primary;AlmostEveryday;AlmostEveryday;Poorer;Rural;1;3;M
41;43;19;20;Primary;Secondary;NotAtAll;NotAtAll;Poorer;Rural;3;22;F
36;39;19;22;No education;Secondary;NotAtAll;NotAtAll;Middle;Rural;2;16;F
40;42;20;22;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;3;20;F
35;44;16;25;Primary;Primary;NotAtAll;NotAtAll;Middle;Rural;3;18;F
45;45;24;23;Secondary;Higher;NotAtAll;AlmostEveryday;Richest;Urban;2;16;M
21;27;17;23;Secondary;Secondary;NotAtAll;NotAtAll;Poorer;Urban;1;3;M
36;45;15;24;Secondary;Secondary;NotAtAll;NotAtAll;Middle;Urban;2;21;F
33;44;23;34;Primary;Secondary;NotAtAll;NotAtAll;Richer;Urban;2;9;F
37;39;16;23;Secondary;Secondary;NotAtAll;AlmostEveryday;Poorer;Urban;4;20;M
46;48;23;25;Secondary;Secondary;NotAtAll;NotAtAll;Poorest;Urban;4;22;F
35;50;20;35;Secondary;Higher;AlmostEveryday;NotAtAll;Richest;Urban;4;15;F
34;37;20;23;Secondary;Secondary;NotAtAll;NotAtAll;Richer;Urban;2;14;F
49;49;27;27;Primary;Secondary;NotAtAll;NotAtAll;Poorer;Urban;1;22;M
19;22;19;21;Secondary;Secondary;NotAtAll;At least once a week;Poorer;Urban;1;0;M
30;33;23;26;Secondary;Secondary;onceAweek;onceAweek;Middle;Urban;2;6;F
48;47;21;20;Secondary;Secondary;NotAtAll;AlmostEveryday;Poorer;Rural;2;27;M
46;49;18;20;Primary;Secondary;NotAtAll;NotAtAll;Middle;Rural;2;28;M
28;28;19;19;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Middle;Rural;2;9;M
31;34;21;24;Secondary;Secondary;NotAtAll;LessThanOnceAweek;Poorer;Rural;2;10;M
45;48;19;22;Secondary;Secondary;NotAtAll;NotAtAll;Middle;Rural;2;25;F
29;33;20;24;Secondary;Secondary;NotAtAll;NotAtAll;Richer;Urban;4;9;F
37;37;29;29;Higher;Higher;NotAtAll;AlmostEveryday;Richest;Urban;2;8;F
47;50;18;21;Primary;Primary;NotAtAll;NotAtAll;Richest;Urban;1;29;M
27;29;23;25;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Richest;Urban;2;2;M
31;37;21;27;Secondary;Primary;NotAtAll;AlmostEveryday;Richest;Urban;2;9;M
31;37;26;31;Higher;Primary;AlmostEveryday;NotAtAll;Middle;Urban;1;5;F
40;42;22;23;Primary;Secondary;NotAtAll;NotAtAll;Richest;Urban;3;18;F
33;36;23;25;Secondary;Primary;NotAtAll;NotAtAll;Middle;Urban;1;10;M
36;39;18;22;Secondary;Secondary;onceAweek;onceAweek;Middle;Urban;4;17;F
39;42;21;24;Secondary;Higher;NotAtAll;NotAtAll;Richest;Urban;2;18;M
30;37;22;30;Secondary;Secondary;NotAtAll;AlmostEveryday;Richest;Urban;2;7;M
49;51;22;24;Higher;Higher;NotAtAll;AlmostEveryday;Richest;Urban;2;27;M
41;47;19;26;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Richer;Urban;3;21;F
37;39;24;26;Secondary;Secondary;AlmostEveryday;At least once a week;Richest;Rural;2;13;F
45;48;25;28;Secondary;Secondary;NotAtAll;AlmostEveryday;Richest;Rural;2;20;M
30;34;29;32;Higher;Higher;AlmostEveryday;AlmostEveryday;Richest;Rural;1;1;F
49;49;26;25;Secondary;Higher;AlmostEveryday;AlmostEveryday;Richest;Rural;2;23;M
43;46;23;26;Secondary;Secondary;NotAtAll;NotAtAll;Richest;Rural;2;19;M
37;42;23;28;Secondary;Secondary;AlmostEveryday;At least once a week;Richer;Rural;2;13;M
46;44;27;25;Primary;Primary;NotAtAll;NotAtAll;Poorer;Rural;2;19;F
35;36;21;23;Secondary;Secondary;NotAtAll;NotAtAll;Richest;Urban;2;13;M
44;48;22;26;Higher;Higher;AlmostEveryday;AlmostEveryday;Richest;Urban;2;22;M
40;46;21;27;Secondary;Secondary;NotAtAll;AlmostEveryday;Richest;Urban;3;19;F
38;35;29;27;Higher;Higher;AlmostEveryday;AlmostEveryday;Richest;Urban;3;8;M
49;48;22;28;Secondary;Secondary;onceAweek;AlmostEveryday;Richest;Urban;2;27;M
36;52;21;36;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Richest;Urban;2;15;M
31;36;20;26;Secondary;Secondary;onceAweek;AlmostEveryday;Richest;Urban;1;10;M
35;38;26;30;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Richer;Urban;1;9;M
46;49;26;30;Secondary;Higher;NotAtAll;NotAtAll;Richest;Urban;2;19;M
41;40;29;29;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Richest;Urban;1;11;M
39;31;17;29;Secondary;Secondary;NotAtAll;AlmostEveryday;Richer;Urban;3;22;F
43;44;24;26;Primary;Secondary;NotAtAll;NotAtAll;Middle;Urban;1;18;M
25;26;24;24;Higher;Secondary;onceAweek;AlmostEveryday;Richer;Urban;2;1;F
32;31;23;22;Secondary;Secondary;NotAtAll;AlmostEveryday;Richer;Urban;2;9;M
38;38;29;29;Secondary;Secondary;NotAtAll;At least once a week;Middle;Urban;3;9;M
40;39;22;22;Secondary;Secondary;NotAtAll;AlmostEveryday;Richest;Urban;2;17;F
44;44;23;24;Higher;Secondary;AlmostEveryday;AlmostEveryday;Richest;Urban;2;20;M
23;26;21;24;Secondary;Secondary;NotAtAll;AlmostEveryday;Richest;Urban;1;2;M
29;31;21;21;Secondary;Higher;AlmostEveryday;AlmostEveryday;Richest;Urban;1;8;F
46;50;38;42;Higher;Higher;NotAtAll;NotAtAll;Richer;Urban;1;7;M
26;24;25;22;Secondary;Higher;NotAtAll;NotAtAll;Richer;Urban;1;1;M
46;46;18;18;Primary;Primary;NotAtAll;NotAtAll;Richer;Urban;4;28;M
23;24;17;19;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Richer;Urban;1;5;M
32;35;20;23;Secondary;Secondary;NotAtAll;AlmostEveryday;Middle;Urban;3;12;F
24;25;22;23;Higher;Higher;AlmostEveryday;AlmostEveryday;Richest;Urban;1;1;F
47;47;24;25;Higher;Higher;AlmostEveryday;AlmostEveryday;Richest;Urban;3;22;M
21;26;17;22;Secondary;Secondary;NotAtAll;NotAtAll;Middle;Urban;2;3;M
21;25;19;23;Secondary;Secondary;AlmostEveryday;At least once a week;Middle;Urban;1;2;M
45;49;29;28;Secondary;Secondary;NotAtAll;NotAtAll;Poorer;Urban;3;15;M
36;39;21;24;Secondary;Primary;NotAtAll;NotAtAll;Richer;Urban;3;15;M
45;46;18;19;Secondary;Secondary;NotAtAll;NotAtAll;Middle;Urban;2;27;M
45;49;19;23;Primary;Secondary;NotAtAll;NotAtAll;Richer;Rural;3;26;F
35;40;17;22;No education;Primary;NotAtAll;NotAtAll;Middle;Rural;4;17;M
36;37;22;23;Secondary;Secondary;NotAtAll;AlmostEveryday;Richer;Rural;3;14;M
42;41;26;24;Primary;Higher;NotAtAll;AlmostEveryday;Richer;Rural;1;16;F
49;51;30;31;Primary;Higher;NotAtAll;AlmostEveryday;Poorer;Rural;2;19;M
25;31;23;29;Higher;Secondary;AlmostEveryday;AlmostEveryday;Middle;Rural;2;2;F
46;46;22;22;Higher;Secondary;NotAtAll;NotAtAll;Richer;Urban;3;23;M
34;39;24;30;Higher;Secondary;NotAtAll;AlmostEveryday;Richest;Urban;4;9;F
33;36;20;23;Secondary;Secondary;NotAtAll;NotAtAll;Middle;Urban;2;13;F
45;49;20;24;Secondary;Primary;NotAtAll;NotAtAll;Poorer;Rural;3;24;F
39;48;18;26;Primary;Secondary;NotAtAll;NotAtAll;Richer;Rural;2;21;M
38;40;32;34;Secondary;Secondary;NotAtAll;NotAtAll;Poorer;Rural;3;6;M
33;34;23;29;Secondary;Secondary;NotAtAll;AlmostEveryday;Poorer;Rural;4;10;F
46;51;18;23;Primary;Primary;NotAtAll;NotAtAll;Middle;Rural;6;28;F
23;31;21;29;Primary;Secondary;NotAtAll;NotAtAll;Poorer;Rural;1;2;F
38;38;26;26;Secondary;Secondary;NotAtAll;LessThanOnceAweek;Richer;Urban;3;12;M
44;48;23;28;Secondary;Secondary;NotAtAll;NotAtAll;Richest;Urban;2;20;M
26;32;25;31;Higher;Secondary;AlmostEveryday;AlmostEveryday;Richest;Urban;1;0;M
37;40;18;22;Primary;Secondary;NotAtAll;NotAtAll;Poorer;Urban;3;18;M
48;48;23;23;Secondary;Secondary;NotAtAll;NotAtAll;Richest;Urban;3;25;M
24;25;19;20;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Richest;Urban;2;4;M
41;45;30;34;Secondary;Primary;NotAtAll;NotAtAll;Poorest;Rural;3;11;F
38;44;20;26;Primary;Higher;NotAtAll;AlmostEveryday;Richer;Rural;2;18;M
25;33;23;31;Primary;Primary;NotAtAll;NotAtAll;Poorer;Rural;1;2;M
30;30;25;25;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;1;5;F
20;26;16;22;Primary;Secondary;NotAtAll;NotAtAll;Poorest;Rural;1;4;M
45;47;22;24;Primary;Primary;NotAtAll;AlmostEveryday;Richer;Rural;4;23;M
30;34;20;24;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;4;10;M
26;29;20;23;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Middle;Rural;2;6;F
38;44;29;35;Higher;Higher;AlmostEveryday;AlmostEveryday;Richer;Rural;3;9;F
45;50;20;25;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;6;25;F
46;45;25;24;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;2;20;F
31;32;18;19;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;3;12;F
33;37;18;22;Secondary;Secondary;NotAtAll;NotAtAll;Poorer;Rural;3;15;F
38;29;34;25;Secondary;Secondary;NotAtAll;AlmostEveryday;Richer;Urban;3;4;M
42;42;22;22;Secondary;Secondary;NotAtAll;NotAtAll;Richer;Urban;3;20;F
27;40;19;32;Secondary;Secondary;NotAtAll;NotAtAll;Middle;Urban;2;8;F
42;49;23;31;Secondary;Secondary;NotAtAll;NotAtAll;Poorer;Urban;4;18;F
48;51;27;31;Primary;Secondary;NotAtAll;NotAtAll;Richest;Urban;3;20;F
44;38;36;29;Secondary;Secondary;NotAtAll;NotAtAll;Richer;Urban;2;8;F
25;27;17;20;Primary;Primary;AlmostEveryday;AlmostEveryday;Middle;Urban;4;6;F
30;35;19;25;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Middle;Urban;3;10;M
24;26;19;21;Secondary;Secondary;NotAtAll;NotAtAll;Poorer;Urban;1;5;F
42;40;19;17;Higher;Secondary;AlmostEveryday;AlmostEveryday;Richest;Urban;1;23;F
25;30;19;25;Secondary;Secondary;AlmostEveryday;NotAtAll;Richer;Urban;2;5;M
44;49;28;33;Secondary;Higher;AlmostEveryday;AlmostEveryday;Richest;Urban;3;16;F
42;44;38;40;Higher;Higher;AlmostEveryday;AlmostEveryday;Richest;Urban;1;4;M
46;47;24;27;Higher;Higher;onceAweek;onceAweek;Richest;Urban;1;21;F
24;23;22;22;Secondary;Secondary;onceAweek;NotAtAll;Poorer;Urban;1;1;M
31;35;19;24;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Richer;Urban;2;11;F
40;37;21;33;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Middle;Urban;3;18;F
38;40;28;30;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Richer;Urban;3;10;M
47;52;24;29;Secondary;Secondary;NotAtAll;NotAtAll;Richest;Urban;2;23;M
43;43;40;27;Secondary;Secondary;NotAtAll;NotAtAll;Richer;Urban;1;3;M
27;28;23;25;Higher;Higher;AlmostEveryday;AlmostEveryday;Richest;Urban;2;3;F
31;34;27;31;Higher;Higher;AlmostEveryday;AlmostEveryday;Richest;Urban;2;3;F
49;43;30;25;Secondary;Secondary;NotAtAll;AlmostEveryday;Richer;Urban;2;18;F
32;45;22;35;Secondary;Secondary;NotAtAll;AlmostEveryday;Middle;Urban;2;9;M
48;51;26;31;Secondary;Secondary;NotAtAll;NotAtAll;Middle;Urban;2;21;M
34;36;20;22;Secondary;Secondary;LessThanOnceAweek;NotAtAll;Middle;Urban;2;14;M
36;37;32;33;Primary;Secondary;NotAtAll;NotAtAll;Middle;Urban;1;4;M
24;31;19;27;Secondary;Secondary;NotAtAll;NotAtAll;Richest;Urban;2;4;M
32;32;19;20;Secondary;Secondary;onceAweek;AlmostEveryday;Richer;Urban;3;13;M
24;30;21;28;Secondary;Primary;onceAweek;NotAtAll;Richer;Urban;1;2;F
25;34;17;26;Secondary;Primary;NotAtAll;At least once a week;Richer;Urban;2;8;F
37;36;22;21;Secondary;Higher;AlmostEveryday;AlmostEveryday;Richest;Urban;3;15;M
27;34;21;29;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Richest;Urban;2;5;M
30;31;23;25;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Richer;Urban;2;6;F
48;40;31;23;Secondary;Secondary;onceAweek;AlmostEveryday;Richer;Urban;2;16;F
32;33;24;25;Higher;Secondary;AlmostEveryday;AlmostEveryday;Richest;Urban;3;8;M
47;54;18;25;Primary;No education;NotAtAll;NotAtAll;Middle;Urban;2;29;F
48;49;28;30;Primary;Secondary;NotAtAll;NotAtAll;Middle;Urban;3;19;F
20;22;20;19;Secondary;Secondary;LessThanOnceAweek;NotAtAll;Poorer;Urban;1;0;F
45;50;22;22;Primary;Secondary;NotAtAll;NotAtAll;Middle;Urban;3;23;F
32;36;25;29;Higher;Higher;AlmostEveryday;AlmostEveryday;Richest;Urban;2;7;F
33;38;19;26;No education;Primary;NotAtAll;NotAtAll;Poorest;Rural;3;6;F
38;38;19;21;No education;No education;NotAtAll;NotAtAll;Poorest;Rural;4;17;M
34;37;22;25;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;2;12;F
23;23;21;21;Secondary;Secondary;onceAweek;NotAtAll;Poorer;Rural;1;2;F
21;20;20;19;Secondary;Secondary;onceAweek;AlmostEveryday;Poorer;Rural;1;1;F
31;34;20;24;Primary;Primary;NotAtAll;NotAtAll;Richer;Rural;3;11;M
37;40;15;19;No education;No education;NotAtAll;NotAtAll;Middle;Rural;5;21;F
46;48;22;21;Secondary;Secondary;AlmostEveryday;NotAtAll;Richest;Urban;2;24;F
25;36;18;28;Secondary;Secondary;LessThanOnceAweek;At least once a week;Richer;Urban;1;6;F
37;47;20;22;Primary;Primary;NotAtAll;NotAtAll;Richer;Urban;3;16;M
